date,sentiment_index,DATE,CPI,PPI,Fed_Funds_Rate,CPI_YoY,PPI_YoY,Fed_Funds_Rate_YoY
2018-01-01,-0.3800881884314797,2018-01-01,248.859,197.9,1.41,2.151318868063945,3.775563712637653,116.9230769230769
2018-02-01,-0.7921131551265717,2018-02-01,249.529,199.3,1.42,2.263468931091861,4.018789144050117,115.15151515151514
2018-03-01,0.2510214284771964,2018-03-01,249.577,199.3,1.51,2.3309497646499366,4.073107049608371,91.13924050632912
2018-04-01,0.24011391092991,2018-04-01,250.227,200.3,1.69,2.4709963021052994,3.782383419689128,87.77777777777777
2018-05-01,-0.0775940227839681,2018-05-01,250.792,203.2,1.7,2.781921607842497,5.394190871369275,86.81318681318679
2018-06-01,0.2177398055791854,2018-06-01,251.018,204.2,1.82,2.8075506935940187,5.475206611570238,75.0
2018-08-01,0.3274994241563897,2018-08-01,251.663,203.4,1.91,2.642923856874257,4.953560371517018,64.65517241379311
2018-09-01,-0.0458977669477462,2018-09-01,252.182,203.6,1.95,2.332055105808828,4.517453798767956,69.56521739130437
2018-10-01,0.3725872504156689,2018-10-01,252.772,204.6,2.19,2.492032470218053,4.976911236531545,90.43478260869566
2018-11-01,0.2162910522893071,2018-11-01,252.594,202.3,2.2,2.147328577667773,3.2669729453802976,89.65517241379312
2018-12-01,-0.0543454736471176,2018-12-01,252.767,201.0,2.27,2.0023809043401064,2.3942944472745697,74.61538461538461
2019-01-01,0.0042070355908624,2019-01-01,252.561,199.1,2.4,1.4875893578291333,0.6063668519454168,70.2127659574468
2019-02-01,-0.0434004828041675,2019-02-01,253.319,199.2,2.4,1.5188615351321877,-0.0501756146512932,69.01408450704226
2019-03-01,0.1911828112602233,2019-03-01,254.277,200.8,2.41,1.8831863513063984,0.7526342197691882,59.602649006622535
2019-05-01,-0.0288938928956854,2019-05-01,255.296,201.7,2.39,1.7959105553606136,-0.7381889763779514,40.58823529411766
2019-06-01,0.4156536667243294,2019-06-01,255.213,200.3,2.38,1.671194894390049,-1.9098922624877448,30.76923076923075
2019-07-01,0.2963648600093388,2019-07-01,255.802,200.7,2.4,1.826331335037068,-1.7621145374449476,25.654450261780102
2019-08-01,0.344442185233621,2019-08-01,256.036,199.2,2.13,1.7376412106666406,-2.064896755162249,11.518324607329845
2019-09-01,0.1390835712937747,2019-09-01,256.43,198.4,2.04,1.6844977040391562,-2.5540275049115824,4.615384615384621
2019-10-01,0.0043522404996972,2019-10-01,257.155,198.6,1.83,1.7339736996186297,-2.9325513196480912,-16.43835616438356
2019-11-01,0.00328996242621,2019-11-01,257.879,199.0,1.55,2.092290394862917,-1.6312407315867583,-29.545454545454557
2019-12-01,0.0516457182745779,2019-12-01,258.63,199.0,1.55,2.3195274699624457,-0.995024875621886,-31.71806167400881
2020-01-01,-0.0580990555194708,2020-01-01,259.127,199.3,1.55,2.599767976845202,0.1004520341536974,-35.416666666666664
2020-03-01,0.22023502717147,2020-03-01,258.076,193.1,0.65,1.4940399642909163,-3.834661354581681,-73.02904564315354
2020-04-01,0.2239086491576696,2020-04-01,256.032,185.5,0.05,0.3130472940411133,-8.213755566551207,-97.93388429752066
2020-05-01,0.9687843441963196,2020-05-01,255.802,188.6,0.05,0.1982013035848551,-6.494794248884483,-97.90794979079496
2020-06-01,0.2737248476062502,2020-06-01,257.042,191.2,0.08,0.7166562831830481,-4.543185222166757,-96.63865546218489
2020-07-01,0.4451968942658376,2020-07-01,258.352,193.0,0.09,0.9968647625897996,-3.8365719980069657,-96.25
2020-08-01,0.3080458866386878,2020-08-01,259.316,194.3,0.1,1.2810698495523851,-2.459839357429705,-95.30516431924885
2020-09-01,-0.0118170928955078,2020-09-01,259.997,195.5,0.09,1.3910228912373812,-1.4616935483870996,-95.58823529411764
2020-10-01,-0.1066069137305021,2020-10-01,260.319,196.5,0.09,1.2303863428671624,-1.0574018126888185,-95.08196721311477
2020-11-01,0.1015072871338237,2020-11-01,260.911,198.3,0.09,1.1757452138405844,-0.3517587939698474,-94.19354838709675
2020-12-01,0.2207763303409923,2020-12-01,262.045,200.5,0.09,1.3204191315779434,0.7537688442211143,-94.19354838709675
2021-01-01,0.3608006607918512,2021-01-01,262.639,204.8,0.09,1.3553199782346148,2.759658805820364,-94.19354838709675
2021-02-01,0.1220672018826007,2021-02-01,263.573,210.6,0.08,1.667502410800381,7.066598881545505,-94.9367088607595
2021-03-01,0.1020558621825241,2021-03-01,264.847,215.0,0.07,2.623645747764214,11.341273951320565,-89.23076923076923
2021-04-01,-0.0847539849448622,2021-04-01,266.625,217.9,0.07,4.137373453318349,17.466307277628033,40.000000000000014
